satname, satId, intl_code, launchDate, period, category
FENGYUN 2B, 26382, 2000-032A, June 25 2000, 1438.7, WEATHER
GOES 11, 26352, 2000-022A, May 3 2000, 1453.9, WEATHER
FENGYUN 1C, 25730, 1999-025A, May 10 1999, 101.7, WEATHER
NOAA 15, 25338, 1998-030A, May 13 1998, 101, WEATHER
METEOSAT 7, 24932, 1997-049B, September 2 1997, 1464.8, WEATHER
ORBVIEW 2 (SEASTAR), 24883, 1997-037A, August 1 1997, 100.5, WEATHER
FENGYUN 2A, 24834, 1997-029A, June 10 1997, 1499.2, WEATHER
GOES 10, 24786, 1997-019A, April 25 1997, 1452.8, WEATHER
DMSP 5D-2 F14 (USA 131), 24753, 1997-012A, April 4 1997, 101.7, WEATHER
DMSP 5D-2 F13 (USA 109), 23533, 1995-015A, March 24 1995, 101.7, WEATHER
HIMAWARI 5 (GMS 5), 23522, 1995-011B, March 18 1995, 1448.6, WEATHER
METEOSAT 6, 22912, 1993-073B, November 20 1993, 1454.8, WEATHER
NOAA 12, 21263, 1991-032A, May 14 1991, 101, WEATHER
METEOSAT 5 (MOP 2), 21140, 1991-015B, March 2 1991, 1462.6, WEATHER
FENGYUN 1B, 20788, 1990-081A, September 3 1990, 102.7, WEATHER
FENGYUN 1A, 19467, 1988-080A, September 6 1988, 102.6, WEATHER
OPS 5390, 11389, 1979-050A, June 6 1979, 100.9, WEATHER
COSMOS 1045, 11084, 1978-100A, October 26 1978, 120.3, WEATHER
NIMBUS 7, 11080, 1978-098A, October 24 1978, 104, WEATHER
OPS 5644, 10033, 1977-044A, June 5 1977, 100.8, WEATHER
NIMBUS 6, 7924, 1975-052A, June 12 1975, 107.4, WEATHER
OPS 6226, 7816, 1975-043A, May 24 1975, 101.2, WEATHER
NIMBUS 5, 6305, 1972-097A, December 11 1972, 107.1, WEATHER
ITOS 1 (TIROS M), 4320, 1970-008A, January 23 1970, 115, WEATHER
ESSA 9 (TOS-G), 3764, 1969-016A, February 26 1969, 115.2, WEATHER
ESSA 8 (TOS-F), 3615, 1968-114A, December 15 1968, 114.6, WEATHER
ESSA 7 (TOS-E), 3345, 1968-069A, August 16 1968, 114.9, WEATHER
ESSA 6 (TOS-D), 3035, 1967-114A, November 10 1967, 114.8, WEATHER
ESSA 5, 2757, 1967-036A, April 20 1967, 113.5, WEATHER
ESSA 4 (TOS-B), 2657, 1967-006A, January 26 1967, 113.4, WEATHER
ESSA 3 (TOS-A), 2435, 1966-087A, October 2 1966, 114.6, WEATHER
OPS 0340, 2125, 1966-026A, March 31 1966, 98.9, WEATHER
ESSA 2 (OT-2), 2091, 1966-016A, February 28 1966, 113.4, WEATHER
ESSA 1 (OT-3), 1982, 1966-008A, February 3 1966, 99.5, WEATHER
OPS 8068, 1580, 1965-072A, September 10 1965, 100.9, WEATHER
TIROS 10, 1430, 1965-051A, July 2 1965, 100, WEATHER
TIROS 9, 978, 1965-004A, January 22 1965, 118.9, WEATHER
COSMOS 44, 876, 1964-053A, August 28 1964, 98.4, WEATHER
TIROS 8, 716, 1963-054A, December 21 1963, 98, WEATHER
TIROS 6, 397, 1962-047A, September 18 1962, 96.8, WEATHER
TIROS 5, 309, 1962-025A, June 19 1962, 98.8, WEATHER
TIROS 4, 226, 1962-002A, February 8 1962, 99.6, WEATHER
TIROS 3, 162, 1961-017A, July 12 1961, 99.7, WEATHER
TIROS 1, 29, 1960-002B, April 1 1960, 97.7, WEATHER


NOAA 20 (JPSS 1), 43013, 2017-073A, November 18 2017, 101.4, NOAA
DSCOVR, 40390, 2015-007A, February 11 2015, -, NOAA
SUOMI NPP, 37849, 2011-061A, October 28 2011, 101.4, NOAA
NOAA 19, 33591, 2009-005A, February 6 2009, 102, NOAA
NOAA 18, 28654, 2005-018A, May 20 2005, 102, NOAA
NOAA 17, 27453, 2002-032A, June 24 2002, 101.1, NOAA
NOAA 16, 26536, 2000-055A, September 21 2000, 101.9, NOAA
NOAA 15, 25338, 1998-030A, May 13 1998, 101, NOAA
NOAA 14, 23455, 1994-089A, December 30 1994, 101.8, NOAA
NOAA 13, 22739, 1993-050A, August 9 1993, 101.9, NOAA
NOAA 12, 21263, 1991-032A, May 14 1991, 101, NOAA
NOAA 11, 19531, 1988-089A, September 24 1988, 101.7, NOAA
NOAA 10, 16969, 1986-073A, September 17 1986, 100.8, NOAA
NOAA 9, 15427, 1984-123A, December 12 1984, 101.7, NOAA
NOAA 8, 13923, 1983-022A, March 28 1983, 100.8, NOAA
NOAA 7, 12553, 1981-059A, June 23 1981, 101.6, NOAA
NOAA 6, 11416, 1979-057A, June 27 1979, 100.5, NOAA
TIROS N, 11060, 1978-096A, October 13 1978, 101.5, NOAA
NOAA 5, 9057, 1976-077A, July 29 1976, 116.3, NOAA
NOAA 4, 7529, 1974-089A, November 15 1974, 114.9, NOAA
NOAA 3, 6920, 1973-086A, November 6 1973, 116.1, NOAA
NOAA 2 (ITOS-D), 6235, 1972-082A, October 15 1972, 114.9, NOAA
NOAA 1, 4793, 1970-106A, December 11 1970, 114.8, NOAA


GOES 17, 43226, 2018-022A, March 1 2018, 1436.1, GOES
GOES 16, 41866, 2016-071A, November 19 2016, 1436.1, GOES
GOES 15, 36411, 2010-008A, March 4 2010, 1436.2, GOES
GOES 14, 35491, 2009-033A, June 27 2009, 1436.1, GOES
GOES 13, 29155, 2006-018A, May 24 2006, 1436.3, GOES
GOES 12, 26871, 2001-031A, July 23 2001, 1452.5, GOES
GOES 11, 26352, 2000-022A, May 3 2000, 1453.9, GOES
GOES 10, 24786, 1997-019A, April 25 1997, 1452.8, GOES
GOES 9, 23581, 1995-025A, May 23 1995, 1457.5, GOES
GOES 8, 23051, 1994-022A, April 13 1994, 1455.9, GOES
GOES 7, 17561, 1987-022A, February 26 1987, 1441.6, GOES
GOES 6, 14050, 1983-041A, April 28 1983, 1435.5, GOES
GOES 5, 12472, 1981-049A, May 22 1981, 1435.4, GOES
GOES 4, 11964, 1980-074A, September 9 1980, 1451.2, GOES
GOES 3, 10953, 1978-062A, June 16 1978, 1449.3, GOES
GOES 2, 10061, 1977-048A, June 16 1977, 1448.8, GOES
GOES 1 (SMS-C), 8366, 1975-100A, October 16 1975, 1435.6, GOES


HYSIS, 43719, 2018-096A, November 29 2018, 97.4, EARTH RESOURCES
GAOFEN-5, 43461, 2018-043A, May 8 2018, 98.8, EARTH RESOURCES
NUSAT 5, 43204, 2018-015K, February 2 2018, 94.5, EARTH RESOURCES
NUSAT 4, 43195, 2018-015D, February 2 2018, 94.5, EARTH RESOURCES
VRSS-2, 42954, 2017-060A, October 9 2017, 97.6, EARTH RESOURCES
VENUS, 42901, 2017-044B, August 2 2017, 99.3, EARTH RESOURCES
SENTINEL 2B, 42063, 2017-013A, March 7 2017, 100.6, EARTH RESOURCES
TANSAT, 41898, 2016-081A, December 21 2016, 98.9, EARTH RESOURCES
RESOURCESAT 2A, 41877, 2016-074A, December 7 2016, 101.3, EARTH RESOURCES
WORLDVIEW-4, 41848, 2016-067A, November 11 2016, 97, EARTH RESOURCES
CARTOSAT 2C, 41599, 2016-040A, June 22 2016, 94.8, EARTH RESOURCES
NUSAT 2 (BATATA), 41558, 2016-033C, May 30 2016, 94.2, EARTH RESOURCES
NUSAT 2 (BATATA), 41558, 2016-033C, May 30 2016, 94.2, EARTH RESOURCES
NUSAT 1 (FRESCO), 41557, 2016-033B, May 30 2016, 94.3, EARTH RESOURCES
NUSAT 1 (FRESCO), 41557, 2016-033B, May 30 2016, 94.3, EARTH RESOURCES
ZIYUAN 3-2, 41556, 2016-033A, May 30 2016, 94.7, EARTH RESOURCES
SENTINEL 1B, 41456, 2016-025A, April 25 2016, 98.7, EARTH RESOURCES
RESURS P3, 41386, 2016-016A, March 13 2016, 93.9, EARTH RESOURCES
